,ACTOR_ID,AWARD_NAME,YEAR,OUTCOME,DESCRIPTION,FILM
0,0,"Academy Awards, USA",2008,Nominee - Oscar,Best Performance by an Actor in a Leading Role,Sweeney Todd: The Demon Barber of Fleet Street (2007)
1,0,"Academy Awards, USA",2005,Nominee - Oscar,Best Performance by an Actor in a Leading Role,Finding Neverland (2004)
2,0,"Academy Awards, USA",2004,Nominee - Oscar,Best Actor in a Leading Role,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
3,0,BAFTA Awards,2012,Nominee - BAFTA Children's Award,Best Feature Film,Hugo (2011)
4,0,BAFTA Awards,2005,Nominee - BAFTA Film Award,Best Performance by an Actor in a Leading Role,Finding Neverland (2004)
5,0,BAFTA Awards,2004,Nominee - BAFTA Film Award,Best Performance by an Actor in a Leading Role,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
6,0,20/20 Awards,2016,Nominee - Felix,Best Actor,Dead Man (1995)
7,0,20/20 Awards,2015,Nominee - Felix,Best Actor,Ed Wood (1994)
8,0,20/20 Awards,2011,Nominee - Felix,Best Actor,Edward Scissorhands (1990)
9,0,AACTA International Awards,2012,Nominee - AACTA International Award,Best Film,Hugo (2011)
10,0,AARP Movies for Grownups Awards,2016,Nominee - Movies for Grownups Award,Best Actor,Black Mass (2015)
11,0,"Academy of Science Fiction, Fantasy & Horror Films, USA",2008,Nominee - Saturn Award,Best Actor,Sweeney Todd: The Demon Barber of Fleet Street (2007)
12,0,"Academy of Science Fiction, Fantasy & Horror Films, USA",2005,Nominee - Saturn Award,Best Actor,Finding Neverland (2004)
13,0,"Academy of Science Fiction, Fantasy & Horror Films, USA",2004,Nominee - Saturn Award,Best Actor,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
14,0,"Academy of Science Fiction, Fantasy & Horror Films, USA",2002,Nominee - Saturn Award,Best Actor,From Hell (2001)
15,0,"Academy of Science Fiction, Fantasy & Horror Films, USA",2000,Nominee - Saturn Award,Best Actor,Sleepy Hollow (1999)
