,FILM_NAME,FILM_YEAR,RATING,FILM_LINK,ACTOR_ID
0,Johnny Puff Secret Mission,2023,-,https://www.imdb.com/title/tt24855120/?ref_=nm_flmg_unrel_1_act,0
1,Jeanne du Barry,-,-,https://www.imdb.com/title/tt17277414/?ref_=nm_flmg_unrel_2_act,0
2,Puffins Impossible,2021– ,8.4,https://www.imdb.com/title/tt18330034/?ref_=nm_flmg_i_1_act,0
3,Sea of Dawn: Adventurer's Game,2022,8.1,https://www.imdb.com/title/tt21391206/?ref_=nm_flmg_i_2_act,0
4,Puffins,2020– ,8.9,https://www.imdb.com/title/tt12874990/?ref_=nm_flmg_i_3_act,0
5,Minamata,2020,7.3,https://www.imdb.com/title/tt9179096/?ref_=nm_flmg_i_4_act,0
6,Warten auf die Barbaren,2019,5.9,https://www.imdb.com/title/tt6149154/?ref_=nm_flmg_i_5_act,0
7,City of Lies,2018,6.5,https://www.imdb.com/title/tt2677722/?ref_=nm_flmg_i_6_act,0
8,Phantastische Tierwesen: Grindelwalds Verbrechen,2018,6.5,https://www.imdb.com/title/tt4123430/?ref_=nm_flmg_i_7_act,0
9,The Professor,2018,6.7,https://www.imdb.com/title/tt6865690/?ref_=nm_flmg_i_8_act,0
10,London Fields,2018,3.9,https://www.imdb.com/title/tt1273221/?ref_=nm_flmg_i_9_act,0
11,Dior: Sauvage - Legend of the Magic Hour,2018,8.1,https://www.imdb.com/title/tt8925680/?ref_=nm_flmg_i_10_act,0
12,Sherlock Gnomes,2018,5.2,https://www.imdb.com/title/tt2296777/?ref_=nm_flmg_i_11_act,0
13,Marilyn Manson: Kill4Me,2017,7.8,https://www.imdb.com/title/tt7634200/?ref_=nm_flmg_i_12_act,0
14,Mord im Orient-Express,2017,6.5,https://www.imdb.com/title/tt3402236/?ref_=nm_flmg_i_13_act,0
15,Marilyn Manson: Say10,2017,7.3,https://www.imdb.com/title/tt7492974/?ref_=nm_flmg_i_14_act,0
16,Pirates of the Caribbean: Salazars Rache,2017,6.5,https://www.imdb.com/title/tt1790809/?ref_=nm_flmg_i_15_act,0
17,The Black Ghiandola,2017,5.5,https://www.imdb.com/title/tt6244528/?ref_=nm_flmg_i_16_act,0
18,Phantastische Tierwesen und wo sie zu finden sind,2016,7.2,https://www.imdb.com/title/tt3183660/?ref_=nm_flmg_i_17_act,0
19,Alice im Wunderland: Hinter den Spiegeln,2016,6.2,https://www.imdb.com/title/tt2567026/?ref_=nm_flmg_i_18_act,0
20,Donald Trump's The Art of the Deal: The Movie,2016,5.9,https://www.imdb.com/title/tt5456120/?ref_=nm_flmg_i_19_act,0
21,Yoga Hosers,2016,4.2,https://www.imdb.com/title/tt3838992/?ref_=nm_flmg_i_20_act,0
22,Black Mass,2015,6.9,https://www.imdb.com/title/tt1355683/?ref_=nm_flmg_i_21_act,0
23,Dior: Sauvage,2015,7.8,https://www.imdb.com/title/tt8925618/?ref_=nm_flmg_i_22_act,0
24,Mortdecai - Der Teilzeitgauner,2015,5.5,https://www.imdb.com/title/tt3045616/?ref_=nm_flmg_i_23_act,0
25,Into the Woods,2014,5.9,https://www.imdb.com/title/tt2180411/?ref_=nm_flmg_i_24_act,0
26,Tusk,2014,5.3,https://www.imdb.com/title/tt3099498/?ref_=nm_flmg_i_25_act,0
27,Transcendence,2014,6.2,https://www.imdb.com/title/tt2209764/?ref_=nm_flmg_i_26_act,0
28,Paul McCartney: Early Days,2014,8.4,https://www.imdb.com/title/tt3856870/?ref_=nm_flmg_i_27_act,0
29,Lucky Them - Auf der Suche nach Matthew Smith,2013,6.1,https://www.imdb.com/title/tt1885299/?ref_=nm_flmg_i_28_act,0
30,Lone Ranger,2013,6.4,https://www.imdb.com/title/tt1210819/?ref_=nm_flmg_i_29_act,0
31,Family Guy,1999– ,8.2,https://www.imdb.com/title/tt0182576/?ref_=nm_flmg_i_30_act,0
32,Dark Shadows,2012,6.2,https://www.imdb.com/title/tt1077368/?ref_=nm_flmg_i_31_act,0
