,GENRE,FILM_ID
0,Animation,0
1,Biography,1
2,Drama,1
3,History,1
4,Animation,2
5,Family,2
6,Adventure,3
7,Comedy,3
8,Animation,4
9,Short,4
10,Drama,5
11,Drama,6
12,Biography,7
13,Crime,7
14,Drama,7
15,Adventure,8
16,Family,8
17,Fantasy,8
18,Comedy,9
19,Drama,9
20,Crime,10
21,Mystery,10
22,Thriller,10
23,Short,11
24,Animation,12
25,Adventure,12
26,Comedy,12
27,Short,13
28,Music,13
29,Crime,14
30,Drama,14
31,Mystery,14
32,Short,15
33,Music,15
34,Action,16
35,Adventure,16
36,Fantasy,16
37,Short,17
38,Horror,17
39,Adventure,18
40,Family,18
41,Fantasy,18
42,Adventure,19
43,Family,19
44,Fantasy,19
45,Comedy,20
46,Action,21
47,Comedy,21
48,Horror,21
49,Biography,22
50,Crime,22
51,Drama,22
52,Short,23
53,Action,24
54,Adventure,24
55,Comedy,24
56,Adventure,25
57,Comedy,25
58,Drama,25
59,Comedy,26
60,Horror,26
61,Action,27
62,Drama,27
63,Sci-Fi,27
64,Short,28
65,Music,28
66,Comedy,29
67,Drama,29
68,Action,30
69,Adventure,30
70,Western,30
71,Animation,31
72,Comedy,31
73,Comedy,32
74,Fantasy,32
75,Horror,32
76,Short,33
77,Music,33
78,Action,34
79,Comedy,34
80,Crime,34
81,Comedy,35
82,Comedy,36
83,Comedy,37
84,Drama,37
85,Action,38
86,Adventure,38
87,Family,38
88,Action,39
89,Adventure,39
90,Fantasy,39
91,Animation,40
92,Action,40
93,Adventure,40
94,Action,41
95,Thriller,41
96,Adventure,42
97,Family,42
98,Fantasy,42
99,Action,43
100,Biography,43
101,Crime,43
102,Adventure,44
103,Comedy,44
104,Fantasy,44
105,Animation,45
106,Comedy,45
107,Family,45
108,Drama,46
109,Horror,46
110,Musical,46
111,Action,47
112,Adventure,47
113,Fantasy,47
114,Action,48
115,Adventure,48
116,Fantasy,48
117,Action,49
118,Adventure,49
119,Fantasy,49
120,Animation,50
121,Drama,50
122,Family,50
123,Adventure,51
124,Comedy,51
125,Family,51
126,Biography,52
127,Drama,52
128,History,52
129,Biography,53
130,Drama,53
131,Family,53
132,Comedy,54
133,Drama,54
134,Music,54
135,Animation,55
136,Comedy,55
137,Drama,55
138,Drama,56
139,Mystery,56
140,Thriller,56
141,Action,57
142,Crime,57
143,Thriller,57
144,Action,58
145,Adventure,58
146,Fantasy,58
147,Horror,59
148,Mystery,59
149,Thriller,59
150,Biography,60
151,Crime,60
152,Drama,60
153,Comedy,61
154,Drama,62
155,Romance,62
156,Biography,63
157,Drama,63
158,Romance,63
159,Drama,64
160,Music,64
161,Romance,64
162,Fantasy,65
163,Horror,65
164,Mystery,65
165,Drama,66
166,Sci-Fi,66
167,Thriller,66
168,Mystery,67
169,Thriller,67
170,Comedy,68
171,Comedy,69
172,Drama,69
173,Romance,69
174,Adventure,70
175,Comedy,70
176,Drama,70
177,Comedy,71
178,Drama,71
179,Drama,72
180,Biography,73
181,Crime,73
182,Drama,73
183,Short,74
184,Comedy,74
185,Action,75
186,Crime,75
187,Drama,75
188,Music,76
189,Adventure,77
190,Drama,77
191,Fantasy,77
192,Short,78
193,Music,78
194,Comedy,79
195,Drama,79
